Region,aantal,Primary education,Lower secondary education,Vocational training,Higher education (Bachelor),Higher education (Master/Doctor),Jaar,Region_clean
West-Noord-Brabant (CR),478500.0,10.2,21.1,42.9,18.0,7.8,2016,West-Noord-Brabant
Midden-Noord-Brabant (CR),360600.0,10.1,21.8,42.2,17.4,8.6,2016,Midden-Noord-Brabant
Noordoost-Noord-Brabant (CR),493700.0,9.4,22.2,42.1,17.7,8.6,2016,Noordoost-Noord-Brabant
Zuidoost-Noord-Brabant (CR),578600.0,9.8,20.5,40.6,19.0,10.1,2016,Zuidoost-Noord-Brabant
Noord-Limburg (CR),214400.0,10.5,23.3,44.3,15.9,5.9,2016,Noord-Limburg
Midden-Limburg (CR),180900.0,10.7,22.0,43.0,17.5,6.7,2016,Midden-Limburg
Zuid-Limburg (CR),465400.0,12.2,21.7,41.4,16.5,8.2,2016,Zuid-Limburg
Flevoland (CR),308600.0,10.1,21.2,45.6,16.7,6.4,2016,Flevoland
Oost-Groningen (CR),111100.0,12.1,24.7,47.0,12.7,3.5,2017,Oost-Groningen
Delfzijl en omgeving (CR),34800.0,9.5,21.9,50.9,14.0,3.8,2017,Delfzijl en omgeving
Overig Groningen (CR),307100.0,7.3,15.7,43.7,20.9,12.4,2017,Overig Groningen
Noord-Friesland (CR),244700.0,9.8,21.3,45.9,17.4,5.5,2017,Noord-Friesland
Zuidwest-Friesland (CR),100800.0,8.3,22.2,46.7,17.3,5.5,2017,Zuidwest-Friesland
Zuidoost-Friesland (CR),139400.0,8.6,22.0,45.9,17.7,5.8,2017,Zuidoost-Friesland
Noord-Drenthe (CR),142300.0,6.9,18.6,45.3,20.2,9.0,2017,Noord-Drenthe
Zuidoost-Drenthe (CR),127100.0,11.3,24.0,46.9,13.9,3.9,2017,Zuidoost-Drenthe
Zuidwest-Drenthe (CR),97800.0,9.8,22.8,45.7,15.8,6.0,2017,Zuidwest-Drenthe
Noord-Overijssel (CR),273300.0,8.8,21.2,44.3,18.6,7.0,2017,Noord-Overijssel
Zuidwest-Overijssel (CR),116600.0,8.6,19.1,44.5,19.2,8.6,2017,Zuidwest-Overijssel
Twente (CR),470900.0,9.9,20.4,45.2,17.7,6.9,2017,Twente
Veluwe (CR),507200.0,9.6,21.5,42.9,18.0,8.1,2017,Veluwe
Achterhoek (CR),300800.0,8.6,22.3,45.6,17.2,6.2,2017,Achterhoek
Arnhem/Nijmegen (CR),565600.0,9.3,18.7,40.1,19.9,12.0,2017,Arnhem
Zuidwest-Gelderland (CR),181900.0,10.5,24.5,43.5,14.8,6.7,2017,Zuidwest-Gelderland
Utrecht (CR),976700.0,8.3,16.9,37.5,20.9,16.4,2017,Utrecht
Kop van Noord-Holland (CR),284200.0,9.6,22.4,46.9,15.7,5.5,2017,Kop van Noord-Holland
Alkmaar en omgeving (CR),184800.0,8.0,19.9,43.9,19.6,8.6,2017,Alkmaar en omgeving
IJmond (CR),148100.0,8.9,21.0,44.9,17.9,7.3,2017,IJmond
Agglomeratie Haarlem (CR),173100.0,8.7,16.3,35.2,22.2,17.6,2017,Agglomeratie Haarlem
Zaanstreek (CR),129200.0,10.4,20.9,45.3,16.4,7.0,2017,Zaanstreek
Groot-Amsterdam (CR),1062100.0,9.8,15.6,34.9,20.8,19.0,2017,Groot-Amsterdam
Het Gooi en Vechtstreek (CR),185400.0,7.8,17.4,37.3,21.9,15.7,2017,Het Gooi en Vechtstreek
Agglomeratie Leiden en Bollenstreek (CR),323600.0,7.7,18.4,40.1,18.5,15.4,2017,Agglomeratie Leiden en Bollenstreek
Agglomeratie 's-Gravenhage (CR),651300.0,12.0,18.0,36.7,18.6,14.6,2017,Agglomeratie 's-Gravenhage
Delft en Westland (CR),177900.0,8.5,18.0,40.1,20.4,13.0,2017,Delft en Westland
Oost-Zuid-Holland (CR),245400.0,9.0,21.6,42.9,18.0,8.4,2017,Oost-Zuid-Holland
Groot-Rijnmond (CR),1083500.0,12.0,20.5,41.9,16.6,9.0,2017,Groot-Rijnmond
Zuidoost-Zuid-Holland (CR),299800.0,10.6,22.6,44.7,15.8,6.3,2017,Zuidoost-Zuid-Holland
Zeeuwsch-Vlaanderen (CR),79400.0,9.4,24.4,47.1,14.4,4.6,2017,Zeeuwsch-Vlaanderen
Overig Zeeland (CR),205500.0,8.3,22.8,46.9,16.5,5.6,2017,Overig Zeeland
West-Noord-Brabant (CR),481700.0,9.9,21.1,42.7,18.4,7.9,2017,West-Noord-Brabant
Midden-Noord-Brabant (CR),362900.0,10.0,21.3,42.4,18.0,8.4,2017,Midden-Noord-Brabant
Noordoost-Noord-Brabant (CR),497000.0,9.6,21.6,41.9,18.2,8.7,2017,Noordoost-Noord-Brabant
Zuidoost-Noord-Brabant (CR),583000.0,9.5,20.1,40.9,19.1,10.4,2017,Zuidoost-Noord-Brabant
Noord-Limburg (CR),214700.0,10.3,23.0,44.3,16.4,6.0,2017,Noord-Limburg
Midden-Limburg (CR),181200.0,10.5,21.6,43.3,17.8,6.7,2017,Midden-Limburg
Zuid-Limburg (CR),464300.0,11.6,21.3,41.5,17.1,8.5,2017,Zuid-Limburg
Flevoland (CR),312000.0,9.9,20.9,45.7,17.1,6.5,2017,Flevoland
Oost-Groningen (CR),101700.0,12.1,24.2,47.2,12.8,3.7,2018,Oost-Groningen
Delfzijl en omgeving (CR),34600.0,9.3,22.5,50.4,13.7,4.0,2018,Delfzijl en omgeving
Overig Groningen (CR),318000.0,7.3,15.5,43.5,21.0,12.7,2018,Overig Groningen
Noord-Friesland (CR),241100.0,9.3,20.9,46.1,18.0,5.7,2018,Noord-Friesland
Zuidwest-Friesland (CR),104900.0,7.9,21.8,47.0,17.7,5.6,2018,Zuidwest-Friesland
Zuidoost-Friesland (CR),139500.0,8.4,21.6,46.1,17.9,5.9,2018,Zuidoost-Friesland
Noord-Drenthe (CR),142400.0,6.9,18.1,45.3,20.6,9.1,2018,Noord-Drenthe
Zuidoost-Drenthe (CR),127000.0,11.0,23.6,47.4,14.0,3.9,2018,Zuidoost-Drenthe
Zuidwest-Drenthe (CR),98600.0,9.7,22.0,45.9,16.1,6.3,2018,Zuidwest-Drenthe
Noord-Overijssel (CR),275700.0,8.5,21.0,44.4,18.9,7.2,2018,Noord-Overijssel
Zuidwest-Overijssel (CR),117400.0,8.3,19.0,44.3,19.5,8.9,2018,Zuidwest-Overijssel
Twente (CR),472700.0,9.5,20.1,45.1,18.3,7.1,2018,Twente
Veluwe (CR),511300.0,9.3,21.1,43.0,18.3,8.3,2018,Veluwe
Achterhoek (CR),301800.0,8.7,21.7,45.8,17.5,6.3,2018,Achterhoek
Arnhem/Nijmegen (CR),569000.0,9.1,18.3,39.7,20.4,12.4,2018,Arnhem
Zuidwest-Gelderland (CR),184100.0,10.3,23.8,43.7,15.3,6.9,2018,Zuidwest-Gelderland
Utrecht (CR),985900.0,8.0,16.7,36.9,21.6,16.7,2018,Utrecht
Kop van Noord-Holland (CR),284800.0,9.2,22.1,47.1,16.2,5.4,2018,Kop van Noord-Holland
Alkmaar en omgeving (CR),185900.0,7.6,20.0,43.3,20.5,8.6,2018,Alkmaar en omgeving
IJmond (CR),149000.0,8.8,20.3,45.1,18.4,7.5,2018,IJmond
Agglomeratie Haarlem (CR),174500.0,8.4,16.0,34.0,23.0,18.6,2018,Agglomeratie Haarlem
Zaanstreek (CR),130000.0,10.1,20.8,44.7,17.3,7.1,2018,Zaanstreek
Groot-Amsterdam (CR),1075100.0,9.4,15.2,33.9,21.6,19.9,2018,Groot-Amsterdam
Het Gooi en Vechtstreek (CR),186700.0,7.8,16.9,37.0,22.2,16.1,2018,Het Gooi en Vechtstreek
Agglomeratie Leiden en Bollenstreek (CR),325600.0,7.3,18.0,39.3,19.8,15.6,2018,Agglomeratie Leiden en Bollenstreek
Agglomeratie 's-Gravenhage (CR),658900.0,11.5,17.7,36.7,19.1,14.9,2018,Agglomeratie 's-Gravenhage
Delft en Westland (CR),180200.0,7.8,17.6,40.3,21.6,12.8,2018,Delft en Westland
Oost-Zuid-Holland (CR),248700.0,8.7,20.8,42.6,19.0,8.9,2018,Oost-Zuid-Holland
Groot-Rijnmond (CR),1091900.0,11.6,20.1,41.6,17.3,9.4,2018,Groot-Rijnmond
Zuidoost-Zuid-Holland (CR),300700.0,10.2,22.2,45.2,16.1,6.3,2018,Zuidoost-Zuid-Holland
Zeeuwsch-Vlaanderen (CR),79200.0,9.0,23.9,46.9,15.2,5.0,2018,Zeeuwsch-Vlaanderen
Overig Zeeland (CR),206200.0,8.1,22.7,46.7,16.9,5.6,2018,Overig Zeeland
West-Noord-Brabant (CR),483800.0,9.5,20.7,42.7,19.1,8.0,2018,West-Noord-Brabant
Midden-Noord-Brabant (CR),365900.0,9.9,21.0,42.2,18.7,8.3,2018,Midden-Noord-Brabant
